utt_id,ctc_rho,pll_rho,gpt2_rho,ctc_wer,pll_wer,gpt2_wer,best_interp_wer,oracle_wer,is_recoverable
2506-11267-0002-1274,-0.2748,-0.7045,-0.4297,0.0270,0.0270,0.0270,0.0270,0.0270,0
2506-11267-0004-1276,-0.7716,-0.3193,-0.6356,0.1000,0.1000,0.1000,0.1000,0.0750,1
2506-11267-0006-1278,-0.5100,-0.7866,-0.6106,0.0000,0.0000,0.0000,0.0000,0.0000,0
2506-11267-0008-1280,-0.5198,-0.4423,-0.7179,0.0909,0.0909,0.0909,0.0909,0.0909,0
2506-11267-0010-1282,-0.5230,-0.4550,-0.3870,0.0000,0.0000,0.0000,0.0000,0.0000,0
2506-11267-0012-1284,-0.0517,-0.7498,-0.8170,0.0000,0.0000,0.0000,0.0000,0.0000,0
2506-11267-0014-1286,-0.5394,-0.8691,-0.6293,0.0833,0.0833,0.0833,0.0833,0.0625,1
2506-11267-0016-1288,0.3237,-0.7169,-0.4856,0.0769,0.0769,0.0769,0.0769,0.0769,0
2506-11267-0018-1290,0.0972,-0.1016,0.0173,0.0000,0.0000,0.0000,0.0000,0.0000,0
2506-13150-0001-1292,-0.3727,-0.1617,-0.2326,0.1389,0.1389,0.1389,0.1389,0.1389,0
2506-13150-0003-1294,-0.4364,-0.2182,-0.1091,0.0000,0.0000,0.0000,0.0000,0.0000,0
2506-13150-0005-1296,-0.1993,-0.3542,-0.0886,0.2500,0.2500,0.2500,0.2500,0.2500,0
2506-13150-0007-1298,-0.2296,-0.5451,-0.3700,0.0000,0.0000,0.0000,0.0000,0.0000,0
2506-13150-0009-1300,-0.1150,-0.5369,-0.4218,0.0000,0.0000,0.0000,0.0000,0.0000,0
1651-136854-0001-1302,-0.4862,-0.6806,-0.6158,0.0000,0.0000,0.0000,0.0000,0.0000,0
1651-136854-0003-1304,-0.1943,-0.5764,-0.3951,0.0000,0.0000,0.0000,0.0000,0.0000,0
1651-136854-0005-1306,-0.3103,-0.4206,-0.1172,0.0000,0.0000,0.0000,0.0000,0.0000,0
1651-136854-0007-1308,-0.1384,-0.5062,-0.4639,0.0435,0.0435,0.0435,0.0435,0.0435,0
1651-136854-0009-1310,-0.1287,-0.4023,-0.2671,0.0000,0.0000,0.0000,0.0000,0.0000,0
1651-136854-0011-1312,-0.1206,-0.1361,-0.2412,0.4000,0.4000,0.4000,0.4000,0.0000,1
1651-136854-0013-1314,-0.4730,-0.0049,-0.1849,0.0000,0.2500,0.0000,0.0000,0.0000,0
1651-136854-0015-1316,-0.4012,-0.2848,0.1079,0.0000,0.0000,0.0000,0.0000,0.0000,0
1651-136854-0017-1318,-0.4890,-0.5683,-0.5343,0.0000,0.0000,0.0000,0.0000,0.0000,0
1651-136854-0019-1320,-0.2335,-0.3678,-0.2783,0.1111,0.1111,0.1111,0.1111,0.1111,0
1651-136854-0021-1322,-0.4067,-0.5966,-0.4772,0.0000,0.0000,0.0000,0.0000,0.0000,0
1651-136854-0023-1324,-0.1898,-0.6074,-0.4176,0.0000,0.0000,0.0000,0.0000,0.0000,0
1651-136854-0025-1326,-0.4610,-0.6345,-0.4989,0.0000,0.0000,0.0000,0.0000,0.0000,0
1651-136854-0027-1328,-0.4790,-0.3370,-0.6241,0.0000,0.0000,0.0000,0.0000,0.0000,0
1651-136854-0029-1330,-0.4273,-0.6045,-0.5144,0.0303,0.0303,0.0303,0.0303,0.0303,0
1651-136854-0031-1332,-0.3795,-0.8178,-0.7466,0.0000,0.0000,0.0000,0.0000,0.0000,0
1585-131718-0000-1334,-0.5139,-0.7155,-0.8019,0.0682,0.0682,0.0682,0.0682,0.0682,0
1585-131718-0002-1336,-0.4894,-0.7277,-0.6765,0.0714,0.0714,0.0714,0.0714,0.0357,1
1585-131718-0004-1338,-0.5544,-0.6143,-0.3836,0.3750,0.3750,0.3750,0.3750,0.3125,1
1585-131718-0006-1340,-0.2008,-0.2259,-0.0251,0.2500,0.2500,0.2500,0.2500,0.1667,1
1585-131718-0008-1342,-0.1124,-0.3404,-0.4482,0.1714,0.1714,0.1714,0.1714,0.1714,0
1585-131718-0010-1344,-0.7086,-0.7162,-0.8150,0.1154,0.1154,0.1154,0.1154,0.0769,1
1585-131718-0012-1346,-0.6163,-0.6773,-0.8146,0.0606,0.0606,0.0606,0.0606,0.0606,0
1585-131718-0014-1348,-0.4985,0.0383,0.0767,0.0000,0.0000,0.0000,0.0000,0.0000,0
1585-131718-0016-1350,-0.0031,-0.7645,-0.7754,0.1000,0.1000,0.1000,0.1000,0.0667,1
1585-131718-0018-1352,-0.3232,-0.7443,-0.6387,0.0667,0.0667,0.0667,0.0667,0.0667,0
1585-131718-0020-1354,-0.0167,-0.5523,-0.5356,0.1176,0.1176,0.1176,0.1176,0.0588,1
1585-131718-0022-1356,-0.1800,-0.3237,-0.1569,0.4211,0.4211,0.4211,0.4211,0.3684,1
1585-131718-0024-1358,-0.1532,-0.8693,-0.7964,0.0385,0.0385,0.0385,0.0385,0.0000,1
1585-131718-0026-1360,-0.3922,0.2704,0.2483,0.0714,0.0714,0.0714,0.0714,0.0714,0
1585-131718-0028-1362,-0.2129,-0.5687,-0.5383,0.2500,0.2500,0.2500,0.2500,0.2000,1
1585-131718-0030-1364,-0.3761,-0.6443,-0.6009,0.2766,0.2766,0.2766,0.2766,0.2553,1
1585-131718-0032-1366,-0.2926,-0.8009,-0.7454,0.0667,0.0667,0.0667,0.0667,0.0667,0
1585-131718-0034-1368,-0.5704,-0.4926,-0.6774,0.1429,0.1429,0.1429,0.1429,0.1429,0
1585-131718-0036-1370,-0.1808,-0.1717,-0.2260,0.1579,0.1579,0.1579,0.1579,0.1579,0
1585-131718-0038-1372,-0.1749,-0.6205,-0.3499,0.0370,0.0370,0.0370,0.0370,0.0370,0
1585-131718-0040-1374,-0.5774,-0.2474,-0.2474,0.0000,0.0000,0.0000,0.0000,0.0000,0
1585-131718-0042-1376,-0.3010,-0.6576,-0.6110,0.1111,0.1111,0.1111,0.1111,0.0000,1
1585-131718-0044-1378,-0.4343,-0.6806,-0.6028,0.0714,0.0000,0.0714,0.0000,0.0000,1
1585-131718-0046-1380,0.0767,0.1342,0.0383,0.2727,0.2727,0.2727,0.2727,0.1818,1
1585-131718-0048-1382,-0.0442,-0.1702,0.1506,0.1538,0.1538,0.1538,0.1538,0.0769,1
1585-131718-0050-1384,-0.0368,-0.4452,-0.2702,0.2222,0.2222,0.3333,0.2222,0.1111,1
1585-131718-0052-1386,-0.0936,-0.4806,-0.3105,0.3077,0.2308,0.3077,0.2308,0.2308,1
1585-131718-0054-1388,-0.2440,0.0705,-0.1519,0.0000,0.0000,0.0000,0.0000,0.0000,0
1585-157660-0001-1390,-0.1172,-0.2836,-0.1274,0.0870,0.0870,0.0870,0.0870,0.0435,1
1585-157660-0003-1392,0.1252,-0.3757,-0.1566,1.0000,1.0000,1.0000,1.0000,0.5000,1
1585-157660-0005-1394,-0.7142,-0.6463,-0.6795,0.0909,0.0909,0.0909,0.0909,0.0909,0
1585-157660-0007-1396,-0.4685,-0.5622,-0.4498,0.1739,0.1739,0.1739,0.1739,0.1304,1
1585-157660-0009-1398,-0.1230,-0.0957,-0.4236,0.8571,0.8571,0.8571,0.8571,0.8571,0
1585-157660-0011-1400,-0.1758,-0.7610,-0.6397,0.2500,0.0000,0.2500,0.0000,0.0000,1
1585-157660-0013-1402,-0.2942,-0.4642,-0.5963,0.1111,0.1111,0.1111,0.1111,0.1111,0
1585-157660-0015-1404,-0.6139,-0.1337,-0.1980,0.1818,0.1818,0.1818,0.1818,0.1818,0
4572-112381-0000-1406,-0.2988,-0.0270,-0.2162,0.1538,0.1538,0.1538,0.1538,0.1538,0
4572-112381-0002-1408,-0.3218,-0.4324,-0.3812,0.0000,0.0000,0.0000,0.0000,0.0000,0
4572-112381-0004-1410,0.0000,-0.3542,-0.3542,0.1429,0.0714,0.1429,0.0714,0.0714,1
4572-112381-0006-1412,-0.7129,-0.5941,-0.2327,0.0909,0.0909,0.0909,0.0909,0.0909,0
4572-112381-0008-1414,-0.0785,-0.0646,0.0215,0.1667,0.1667,0.1667,0.1667,0.1667,0
4572-112381-0010-1416,-0.0755,-0.6122,-0.6975,0.2500,0.2500,0.2500,0.2500,0.1667,1
4572-112381-0012-1418,-0.7327,-0.4976,-0.5916,0.1200,0.1200,0.1200,0.1200,0.0800,1
4572-112381-0014-1420,-0.1490,-0.3772,-0.3497,0.0345,0.0345,0.0345,0.0345,0.0345,0
4572-112381-0016-1422,-0.4702,-0.3114,-0.4305,0.1250,0.1250,0.1250,0.1250,0.0417,1
4572-112381-0018-1424,-0.2119,-0.5619,-0.2119,0.1429,0.1429,0.1429,0.1429,0.1429,0
4572-64670-0000-1426,-0.5281,-0.6299,-0.3396,0.1923,0.1923,0.1923,0.1923,0.1154,1
4572-64670-0002-1428,-0.0486,-0.4473,-0.8394,0.2308,0.2308,0.2308,0.2308,0.0769,1
4572-64670-0004-1430,-0.2469,-0.7158,-0.5001,0.1852,0.1852,0.1852,0.1852,0.1852,0
4572-64670-0006-1432,-0.5972,-0.7216,-0.6719,0.1481,0.1481,0.1481,0.1481,0.1111,1
4572-64670-0008-1434,-0.3527,-0.4382,-0.3636,0.0714,0.0714,0.0714,0.0714,0.0714,0
4572-64670-0010-1436,-0.5419,-0.3562,-0.4130,0.2000,0.2000,0.2000,0.2000,0.2000,0
4572-64670-0012-1438,-0.4377,-0.7400,-0.6919,0.1786,0.1786,0.1786,0.1786,0.1429,1
4572-64670-0014-1440,-0.7813,-0.7160,-0.5128,0.1154,0.1154,0.1154,0.1154,0.1154,0
4572-64670-0016-1442,-0.1390,-0.4977,-0.7585,0.1538,0.1538,0.1538,0.1538,0.1154,1
4572-64670-0018-1444,0.0256,-0.8270,-0.8542,0.1667,0.1667,0.1667,0.1667,0.1667,0
4572-64670-0020-1446,-0.4486,-0.1797,-0.2751,0.2143,0.1429,0.2143,0.1429,0.1429,1
4572-64670-0022-1448,-0.5119,-0.1241,0.0982,0.0667,0.0667,0.0667,0.0667,0.0667,0
4572-64670-0024-1450,-0.2475,-0.3631,-0.1584,0.1481,0.1481,0.1481,0.1481,0.1111,1
4572-112375-0001-1452,0.1002,-0.4759,-0.0219,0.0000,0.0000,0.0000,0.0000,0.0000,0
4572-112375-0003-1454,-0.1024,-0.5561,-0.6539,0.1852,0.1852,0.1852,0.1852,0.1481,1
4572-112375-0005-1456,-0.2680,0.2033,-0.5267,0.2857,0.3571,0.2857,0.2857,0.2143,1
4572-112375-0007-1458,0.4509,-0.4625,-0.2544,0.3333,0.3333,0.3333,0.3333,0.2500,1
4572-112375-0009-1460,-0.2104,-0.7169,-0.4539,0.2200,0.2200,0.2200,0.2200,0.2000,1
4572-112375-0011-1462,-0.4025,-0.6686,-0.5885,0.1818,0.1818,0.1818,0.1818,0.1818,0
4572-112375-0013-1464,-0.3258,0.0517,0.2379,0.1538,0.1538,0.1538,0.1538,0.1538,0
4572-112375-0015-1466,-0.6476,-0.5991,-0.3951,0.0714,0.0714,0.0714,0.0714,0.0714,0
4572-112383-0001-1468,-0.1960,-0.4201,-0.3081,0.2500,0.2500,0.2500,0.2500,0.2500,0
4572-112383-0003-1470,-0.2891,-0.3981,-0.0116,0.0714,0.0714,0.0714,0.0714,0.0714,0
4572-112383-0005-1472,-0.1767,-0.3413,-0.7731,0.1154,0.1154,0.1154,0.1154,0.1154,0
4572-112383-0007-1474,-0.3647,-0.2605,-0.2953,0.2500,0.2500,0.2500,0.2500,0.2500,0
4572-112383-0009-1476,-0.3641,-0.1960,-0.3641,0.2308,0.2308,0.2308,0.2308,0.2308,0
4323-55228-0001-1478,-0.1562,-0.4823,0.0119,0.0000,0.0000,0.0000,0.0000,0.0000,0
4323-55228-0003-1480,-0.5125,-0.6540,-0.3440,0.0000,0.0000,0.0000,0.0000,0.0000,0
4323-55228-0005-1482,-0.4952,0.1418,0.1379,0.0000,0.0000,0.0000,0.0000,0.0000,0
4323-55228-0007-1484,-0.5688,-0.4977,-0.1027,0.0000,0.0000,0.0000,0.0000,0.0000,0
4323-55228-0009-1486,-0.0813,-0.3254,-0.1573,0.0000,0.0000,0.0000,0.0000,0.0000,0
4323-55228-0011-1488,-0.2011,-0.6481,-0.3799,0.0000,0.0000,0.0000,0.0000,0.0000,0
4323-55228-0013-1490,-0.5296,-0.2150,-0.3863,0.0870,0.0870,0.0870,0.0870,0.0870,0
4323-55228-0015-1492,-0.1621,-0.4624,-0.3954,0.0000,0.0000,0.0000,0.0000,0.0000,0
4323-55228-0017-1494,-0.4190,-0.6563,-0.5941,0.0500,0.0500,0.0500,0.0500,0.0500,0
4323-55228-0019-1496,-0.5186,-0.3284,-0.0735,0.0000,0.0000,0.0000,0.0000,0.0000,0
4323-55228-0021-1498,-0.2083,-0.5603,-0.4094,0.0000,0.0000,0.0000,0.0000,0.0000,0
4323-55228-0023-1500,-0.8660,-0.4124,-0.3162,0.0000,0.0000,0.0000,0.0000,0.0000,0
4323-55228-0025-1502,-0.6508,-0.7864,-0.0651,0.0000,0.0000,0.0000,0.0000,0.0000,0
4323-55228-0027-1504,-0.4661,-0.6731,-0.6352,0.0000,0.0000,0.0000,0.0000,0.0000,0
4323-55228-0029-1506,-0.6806,-0.5531,-0.5899,0.0000,0.0000,0.0000,0.0000,0.0000,0
4323-55228-0031-1508,-0.2008,-0.8285,-0.7448,0.0000,0.0000,0.0000,0.0000,0.0000,0
4323-55228-0033-1510,-0.3451,-0.4602,-0.3451,0.0000,0.0000,0.0000,0.0000,0.0000,0
4323-55228-0035-1512,-0.1080,-0.0507,0.1031,0.0000,0.0000,0.0000,0.0000,0.0000,0
4323-55228-0037-1514,-0.0356,-0.5910,-0.2558,0.0000,0.0000,0.0000,0.0000,0.0000,0
4323-55228-0039-1516,-0.5485,-0.7413,-0.5898,0.0000,0.0000,0.0000,0.0000,0.0000,0
4323-55228-0041-1518,-0.7069,-0.6141,-0.6845,0.0000,0.0000,0.0000,0.0000,0.0000,0
4323-55228-0043-1520,-0.3532,-0.7360,-0.8284,0.0000,0.0000,0.0000,0.0000,0.0000,0
4323-55228-0045-1522,-0.4804,-0.3930,-0.1310,0.0000,0.0000,0.0000,0.0000,0.0000,0
4323-55228-0047-1524,-0.5429,-0.5498,-0.1620,0.0000,0.0000,0.0000,0.0000,0.0000,0
4323-55228-0049-1526,-0.3835,-0.3068,-0.4985,0.0000,0.0000,0.0000,0.0000,0.0000,0
4323-55228-0051-1528,-0.7168,-0.2114,-0.2114,0.0833,0.0833,0.0833,0.0833,0.0833,0
4323-13259-0000-1530,-0.2728,-0.5765,-0.5958,0.0000,0.0000,0.0000,0.0000,0.0000,0
4323-13259-0002-1532,-0.3924,0.1243,-0.4628,0.0000,0.0000,0.0000,0.0000,0.0000,0
4323-13259-0004-1534,-0.8153,-0.6689,-0.3701,0.0000,0.0000,0.0000,0.0000,0.0000,0
4323-13259-0006-1536,-0.4660,-0.6991,-0.6738,0.0000,0.0000,0.0000,0.0000,0.0000,0
4323-13259-0008-1538,-0.4466,-0.4279,-0.4126,0.0000,0.0000,0.0000,0.0000,0.0000,0
4323-13259-0010-1540,-0.5507,-0.7404,-0.7620,0.1471,0.1471,0.1471,0.1471,0.0882,1
4323-13259-0012-1542,-0.3396,-0.7998,-0.6826,0.0588,0.0588,0.0588,0.0588,0.0588,0
4323-13259-0014-1544,0.0542,-0.1871,-0.5399,0.0500,0.0500,0.0500,0.0500,0.0500,0
4323-13259-0016-1546,-0.2593,0.0583,-0.0043,0.0000,0.0000,0.0000,0.0000,0.0000,0
4323-13259-0018-1548,-0.5172,-0.4418,-0.4490,0.0000,0.0000,0.0000,0.0000,0.0000,0
4323-13259-0020-1550,-0.0949,-0.5583,-0.4396,0.0333,0.0333,0.0333,0.0333,0.0333,0
4323-13259-0022-1552,-0.4096,-0.7201,-0.4096,0.0000,0.0000,0.0000,0.0000,0.0000,0
4323-13259-0024-1554,0.0000,-0.4369,-0.1204,0.0000,0.0000,0.0000,0.0000,0.0000,0
4323-13259-0026-1556,0.1356,-0.6833,-0.6942,0.0000,0.0000,0.0000,0.0000,0.0000,0
4323-18416-0001-1558,-0.1503,-0.2596,-0.3963,0.1818,0.0909,0.1818,0.0909,0.0909,1
4323-18416-0003-1560,-0.6888,-0.6544,-0.4759,0.1000,0.1000,0.1000,0.1000,0.1000,0
4323-18416-0005-1562,-0.1534,-0.4602,-0.1917,0.0000,0.0000,0.0000,0.0000,0.0000,0
4323-18416-0007-1564,-0.4610,-0.6345,-0.5911,0.0000,0.0000,0.0000,0.0000,0.0000,0
4323-18416-0009-1566,-0.1898,-0.1952,0.1139,0.0000,0.0000,0.0000,0.0000,0.0000,0
4323-18416-0011-1568,-0.2844,-0.3620,-0.0655,0.0000,0.0000,0.0000,0.0000,0.0000,0
4323-18416-0013-1570,-0.2983,-0.5694,-0.1519,0.0000,0.0000,0.0000,0.0000,0.0000,0
4323-18416-0015-1572,-0.6215,-0.5349,-0.3532,0.0000,0.0476,0.0000,0.0000,0.0000,0
4323-18416-0017-1574,-0.3123,-0.7235,-0.4659,0.0000,0.0000,0.0000,0.0000,0.0000,0
4323-18416-0019-1576,-0.5429,-0.4206,-0.2672,0.0000,0.0000,0.0000,0.0000,0.0000,0
4323-18416-0021-1578,-0.3127,-0.3223,-0.0962,0.0400,0.0400,0.0400,0.0400,0.0400,0
4323-18416-0023-1580,0.0957,-0.2050,-0.2050,0.0455,0.0455,0.0455,0.0455,0.0455,0
4323-18416-0025-1582,-0.4633,-0.6968,-0.5567,0.0000,0.0000,0.0000,0.0000,0.0000,0
4323-18416-0027-1584,-0.1129,0.4372,0.2867,0.0714,0.0714,0.0714,0.0714,0.0000,1
4323-18416-0029-1586,-0.6365,-0.3515,-0.5512,0.0000,0.0000,0.0000,0.0000,0.0000,0
4323-18416-0031-1588,-0.1621,-0.1318,-0.2917,0.0000,0.0000,0.0000,0.0000,0.0000,0
4323-18416-0033-1590,-0.6110,-0.6343,-0.4946,0.0476,0.0476,0.0476,0.0476,0.0476,0
4153-61735-0000-1592,-0.3068,-0.7358,-0.7671,0.1176,0.1176,0.1176,0.1176,0.1176,0
4153-61735-0002-1594,-0.1460,-0.4951,-0.5046,0.0345,0.0345,0.0345,0.0345,0.0345,0
4153-61735-0004-1596,-0.4760,-0.3274,-0.5614,0.0000,0.0000,0.0000,0.0000,0.0000,0
4153-61735-0006-1598,-0.2342,-0.5763,-0.5153,0.1364,0.1364,0.1364,0.1364,0.0909,1
4153-61735-0008-1600,-0.0264,-0.2871,-0.4390,0.1111,0.1111,0.1111,0.1111,0.0556,1
4153-61735-0010-1602,-0.4912,-0.1241,-0.6015,0.0000,0.0000,0.0000,0.0000,0.0000,0
4153-61735-0012-1604,-0.2253,-0.7840,-0.6218,0.0571,0.0571,0.0571,0.0571,0.0286,1
4153-185072-0001-1606,-0.5943,-0.6623,-0.8032,0.0000,0.0000,0.0000,0.0000,0.0000,0
4153-185072-0003-1608,-0.3753,-0.6287,-0.6828,0.0000,0.0000,0.0000,0.0000,0.0000,0
4153-185072-0005-1610,-0.0321,-0.7486,-0.7868,0.0444,0.0444,0.0444,0.0444,0.0222,1
4153-185072-0007-1612,-0.2981,-0.8045,-0.5531,0.0000,0.0000,0.0000,0.0000,0.0000,0
4153-185072-0009-1614,0.0701,-0.8646,-0.5468,0.0800,0.0800,0.0800,0.0800,0.0400,1
4153-185072-0011-1616,-0.4897,-0.3036,-0.4048,0.0000,0.0000,0.0000,0.0000,0.0000,0
4153-185072-0013-1618,-0.7931,-0.7767,-0.7849,0.0000,0.0000,0.0000,0.0000,0.0000,0
4153-185072-0015-1620,-0.4759,-0.2317,-0.1879,0.0645,0.0645,0.0645,0.0645,0.0323,1
4153-186222-0001-1622,-0.6124,-0.6124,-0.2041,0.0000,0.0000,0.0000,0.0000,0.0000,0
4153-186222-0003-1624,-0.5919,-0.5726,-0.5513,0.0000,0.0000,0.0000,0.0000,0.0000,0
4153-186222-0005-1626,-0.5320,-0.5590,-0.7351,0.0000,0.0000,0.0000,0.0000,0.0000,0
4153-186222-0007-1628,-0.7128,-0.7081,-0.2171,0.2000,0.2000,0.2000,0.2000,0.2000,0
4153-186222-0009-1630,0.1151,-0.4670,-0.5533,0.1111,0.1111,0.1111,0.1111,0.1111,0
4153-186222-0011-1632,0.0540,-0.4149,-0.3672,0.0625,0.0625,0.0625,0.0625,0.0625,0
4153-186222-0013-1634,-0.2253,-0.3976,-0.3464,0.0833,0.0833,0.0833,0.0833,0.0417,1
4153-186222-0015-1636,-0.0307,-0.0920,-0.1841,0.2105,0.2105,0.2105,0.2105,0.1579,1
4153-186222-0017-1638,-0.3764,-0.6136,-0.5092,0.0500,0.0500,0.0500,0.0500,0.0500,0
4153-186222-0019-1640,-0.1024,-0.7692,-0.4638,0.0000,0.0000,0.0000,0.0000,0.0000,0
4153-186222-0021-1642,-0.4781,-0.7171,-0.6068,0.0000,0.0000,0.0000,0.0000,0.0000,0
4153-186222-0023-1644,-0.6944,-0.3166,-0.0689,0.0000,0.0000,0.0000,0.0000,0.0000,0
4153-186222-0025-1646,-0.6237,-0.6508,-0.5062,0.0385,0.0385,0.0385,0.0385,0.0000,1
4153-186222-0027-1648,-0.4313,-0.3023,-0.4500,0.0000,0.0000,0.0000,0.0000,0.0000,0
4153-186222-0029-1650,-0.3654,-0.7782,-0.5346,0.0000,0.0000,0.0000,0.0000,0.0000,0
4153-186222-0031-1652,-0.2440,-0.6020,-0.6291,0.0000,0.0000,0.0000,0.0000,0.0000,0
4153-186222-0033-1654,-0.5534,-0.3864,-0.4156,0.0000,0.0000,0.0000,0.0000,0.0000,0
4153-186222-0035-1656,-0.4177,-0.5278,-0.5456,0.0000,0.0000,0.0000,0.0000,0.0000,0
4153-186223-0001-1658,-0.5908,-0.3234,-0.2442,0.0000,0.0000,0.0000,0.0000,0.0000,0
4153-186223-0003-1660,-0.1274,-0.9199,-0.7739,0.0556,0.0556,0.0556,0.0556,0.0278,1
4153-186223-0005-1662,-0.7074,-0.7916,-0.6152,0.1250,0.1250,0.1250,0.1250,0.1250,0
4153-186223-0007-1664,-0.2712,-0.0868,0.0976,0.0000,0.0000,0.0000,0.0000,0.0000,0
4153-186223-0009-1666,-0.3565,-0.1685,-0.1642,0.0000,0.0000,0.0000,0.0000,0.0000,0
4153-186223-0011-1668,-0.4345,-0.0128,0.1988,0.1667,0.1667,0.1667,0.1667,0.1667,0
4153-186223-0013-1670,-0.5602,-0.7599,-0.5883,0.0000,0.0000,0.0000,0.0000,0.0000,0
4153-186223-0015-1672,-0.1187,-0.4544,-0.4826,0.5000,0.2500,0.5000,0.2500,0.0000,1
4153-186223-0017-1674,-0.1382,-0.3174,-0.0563,0.0000,0.0000,0.0000,0.0000,0.0000,0
4153-186223-0019-1676,-0.5817,-0.5951,-0.4001,0.0000,0.0000,0.0000,0.0000,0.0000,0
8254-84205-0000-1678,-0.3398,-0.5178,0.1151,0.0000,0.0000,0.0000,0.0000,0.0000,0
8254-84205-0002-1680,-0.4249,-0.4590,-0.2696,0.2727,0.2727,0.2727,0.2727,0.1818,1
8254-84205-0004-1682,-0.1227,0.1687,0.2301,0.0000,0.0000,0.0000,0.0000,0.0000,0
8254-84205-0006-1684,-0.4872,-0.2301,-0.4195,0.0000,0.0000,0.0000,0.0000,0.0000,0
8254-84205-0008-1686,0.1597,0.4476,0.1423,0.6667,0.6667,0.6667,0.6667,0.3333,1
8254-84205-0010-1688,-0.0866,-0.3547,-0.1608,0.0000,0.0000,0.0000,0.0000,0.0000,0
8254-84205-0012-1690,-0.2228,-0.3317,-0.3763,0.0000,0.0000,0.0000,0.0000,0.0000,0
8254-84205-0014-1692,-0.3852,0.1984,0.1128,0.0000,0.0000,0.0000,0.0000,0.0000,0
8254-84205-0016-1694,-0.1293,-0.4981,-0.2982,0.0000,0.0000,0.0000,0.0000,0.0000,0
8254-84205-0018-1696,-0.4985,-0.3835,-0.0767,0.0000,0.0000,0.0000,0.0000,0.0000,0
8254-84205-0020-1698,-0.2422,-0.6448,-0.6072,0.2000,0.2000,0.2000,0.2000,0.2000,0
8254-84205-0022-1700,-0.4369,0.1340,-0.1243,0.0000,0.0000,0.0000,0.0000,0.0000,0
8254-84205-0024-1702,-0.7399,-0.3053,0.0395,0.0000,0.0000,0.0000,0.0000,0.0000,0
8254-84205-0026-1704,-0.7928,-0.3715,-0.3659,0.0000,0.0000,0.0000,0.0000,0.0000,0
8254-84205-0028-1706,-0.5992,-0.4732,-0.0983,0.0000,0.0000,0.0000,0.0000,0.0000,0
8254-84205-0030-1708,-0.3525,-0.5423,-0.3145,0.0000,0.0000,0.0000,0.0000,0.0000,0
8254-84205-0032-1710,-0.6661,-0.6855,-0.5503,0.0000,0.0000,0.0000,0.0000,0.0000,0
8254-84205-0034-1712,-0.2200,-0.9473,-0.4965,0.1333,0.0000,0.1333,0.0000,0.0000,1
8254-84205-0036-1714,-0.0862,-0.4130,-0.3197,0.0769,0.0769,0.0769,0.0769,0.0000,1
8254-84205-0038-1716,-0.3278,-0.5428,-0.1933,0.1212,0.1212,0.1212,0.1212,0.0606,1
8254-84205-0040-1718,-0.1165,-0.4117,-0.4777,0.0000,0.0000,0.0000,0.0000,0.0000,0
8254-84205-0042-1720,-0.7280,-0.5523,-0.7782,0.0000,0.0000,0.0000,0.0000,0.0000,0
8254-84205-0044-1722,-0.3546,-0.6034,-0.6283,0.0714,0.0714,0.0714,0.0714,0.0714,0
8254-84205-0046-1724,-0.5688,-0.2068,-0.1500,0.0000,0.0000,0.0000,0.0000,0.0000,0
8254-84205-0048-1726,0.3047,-0.0875,0.0713,0.1905,0.1905,0.1905,0.1905,0.1429,1
8254-84205-0050-1728,-0.4566,-0.8167,-0.7119,0.0833,0.0833,0.0833,0.0833,0.0000,1
8254-84205-0052-1730,-0.7544,-0.7602,-0.5842,0.0000,0.0000,0.0000,0.0000,0.0000,0
8254-84205-0054-1732,0.0715,-0.8515,-0.7953,0.0400,0.0400,0.0400,0.0400,0.0400,0
8254-84205-0056-1734,-0.3413,-0.1706,-0.0785,0.0000,0.0000,0.0000,0.0000,0.0000,0
8254-84205-0058-1736,-0.4201,-0.2521,-0.2521,0.0000,0.0000,0.0000,0.0000,0.0000,0
8254-84205-0060-1738,-0.0517,-0.0655,-0.2982,0.0000,0.0000,0.0000,0.0000,0.0000,0
8254-84205-0062-1740,-0.2789,-0.5379,-0.5578,0.0000,0.0000,0.0000,0.0000,0.0000,0
8254-84205-0064-1742,-0.3889,0.2204,0.0583,0.0000,0.0000,0.0000,0.0000,0.0000,0
8254-84205-0066-1744,0.1330,-0.4692,-0.3182,0.0333,0.0333,0.0333,0.0333,0.0333,0
8254-84205-0068-1746,-0.4460,-0.8809,-0.8904,0.0000,0.0000,0.0000,0.0000,0.0000,0
8254-84205-0070-1748,-0.2559,-0.8239,-0.6491,0.0667,0.0667,0.0667,0.0667,0.0000,1
8254-84205-0072-1750,-0.2113,-0.5796,-0.1461,0.1429,0.1429,0.1429,0.1429,0.0952,1
8254-84205-0074-1752,-0.3829,-0.6184,-0.2139,0.0833,0.0833,0.0833,0.0833,0.0833,0
8254-84205-0076-1754,-0.4965,-0.5225,-0.0214,0.0000,0.0000,0.0000,0.0000,0.0000,0
8254-115543-0001-1756,-0.2008,-0.8034,-0.6276,0.0000,0.0000,0.0000,0.0000,0.0000,0
8254-115543-0003-1758,-0.1296,-0.4581,-0.4537,0.0000,0.0000,0.0000,0.0000,0.0000,0
8254-115543-0005-1760,-0.7525,-0.3961,-0.4126,0.0000,0.0000,0.0000,0.0000,0.0000,0
8254-115543-0007-1762,-0.3757,-0.6074,0.2755,0.2000,0.2000,0.2000,0.2000,0.2000,0
